Entry Time,Direction,Entry Price,Exit Time,Exit Price,Result,PnL
2025-04-02 09:35:00+05:30,BUY,1252.05,2025-04-02 09:50:00+05:30,1288.4,TP,36.35
2025-04-02 10:10:00+05:30,BUY,1251.8,2025-04-02 10:25:00+05:30,1278.45,TP,26.65
2025-04-02 10:15:00+05:30,BUY,1252.4,2025-04-02 10:30:00+05:30,1284.4,TP,32.0
2025-04-02 10:20:00+05:30,BUY,1252.4,2025-04-02 10:30:00+05:30,1286.77,TP,34.37
2025-04-02 10:25:00+05:30,BUY,1255.5,2025-04-02 11:15:00+05:30,1286.94,TP,31.44
2025-04-02 10:30:00+05:30,BUY,1254.7,2025-04-02 11:00:00+05:30,1281.12,TP,26.42
2025-04-02 10:35:00+05:30,BUY,1255.0,2025-04-02 10:55:00+05:30,1285.2,TP,30.2
2025-04-02 10:40:00+05:30,BUY,1252.8,2025-04-02 11:00:00+05:30,1287.72,TP,34.92
2025-04-02 10:45:00+05:30,BUY,1254.1,2025-04-02 11:00:00+05:30,1229.02,SL,-25.08
2025-04-02 10:50:00+05:30,BUY,1254.5,2025-04-02 11:05:00+05:30,1284.73,TP,30.23
2025-04-02 10:55:00+05:30,BUY,1254.4,2025-04-02 11:25:00+05:30,1288.98,TP,34.58
2025-04-02 11:00:00+05:30,BUY,1254.25,2025-04-02 11:50:00+05:30,1229.16,SL,-25.09
2025-04-02 11:05:00+05:30,BUY,1254.2,2025-04-02 11:45:00+05:30,1281.43,TP,27.23
2025-04-02 11:10:00+05:30,BUY,1253.5,2025-04-02 11:40:00+05:30,1289.18,TP,35.68
2025-04-02 12:30:00+05:30,BUY,1251.85,2025-04-02 13:25:00+05:30,1288.11,TP,36.26
2025-04-02 12:35:00+05:30,BUY,1252.2,2025-04-02 13:10:00+05:30,1285.0,TP,32.8
2025-04-02 12:40:00+05:30,BUY,1253.25,2025-04-02 12:55:00+05:30,1280.09,TP,26.84
2025-04-02 12:45:00+05:30,BUY,1253.6,2025-04-02 13:10:00+05:30,1288.65,TP,35.05
2025-04-02 12:50:00+05:30,BUY,1252.1,2025-04-02 13:05:00+05:30,1288.03,TP,35.93
2025-04-02 13:00:00+05:30,BUY,1252.0,2025-04-02 13:15:00+05:30,1282.58,TP,30.58
2025-04-10 23:43:56,BUY,1277.52,2025-04-10 23:43:56,1285.2,TP,44.23
2025-04-10 23:46:31,BUY,1264.48,2025-04-10 23:46:31,1290.23,TP,24.17
2025-04-10 23:50:14,BUY,1213.77,2025-04-10 23:50:14,1293.45,TP,19.13
2025-04-10 23:50:54,BUY,1239.92,2025-04-10 23:50:54,1263.94,TP,28.81
2025-04-10 23:51:03,BUY,1236.35,2025-04-10 23:51:03,1243.26,TP,43.04
2025-04-10 23:56:12,BUY,1279.62,2025-04-10 23:56:12,1286.33,TP,45.92
2025-04-10 23:57:14,BUY,1296.96,2025-04-10 23:57:14,1230.91,TP,21.92
2025-04-11 00:00:35,BUY,1267.79,2025-04-11 00:00:35,1268.26,TP,21.17
2025-04-11 00:12:16,BUY,1212.38,2025-04-11 00:12:16,1292.85,TP,23.94
2025-04-11 09:32:51,BUY,1273.43,2025-04-11 09:32:51,1227.03,TP,16.78
2025-04-11 09:39:58,BUY,1278.43,2025-04-11 09:39:58,1255.18,TP,22.28
2025-04-11 09:40:00,BUY,1255.64,2025-04-11 09:40:00,1260.69,TP,38.43
2025-04-11 09:49:34,BUY,1269.5,2025-04-11 09:49:34,1233.93,TP,30.49
2025-04-11 09:50:43,BUY,1253.82,2025-04-11 09:50:43,1238.41,TP,35.92
2025-04-11 09:55:14,BUY,1183.68,2025-04-11 09:55:14,1206.7,TP,23.02
2025-04-11 10:06:48,BUY,1184.68,2025-04-11 10:06:48,1208.27,TP,23.59
2025-04-11 10:13:01,BUY,1212.88,2025-04-11 10:13:01,1200.14,SL,-12.74
2025-04-11 10:14:40,BUY,1212.77,2025-04-11 10:14:40,1200.03,SL,-12.74
2025-04-11 10:16:21,BUY,1212.77,2025-04-11 10:16:21,1200.03,SL,-12.74
2025-04-11 10:16:27,BUY,1212.51,2025-04-11 10:16:27,1199.78,SL,-12.73
2025-04-11 10:19:24,BUY,1210.94,2025-04-11 10:19:24,1198.22,SL,-12.72
2025-04-11 10:32:00,BUY,1211.7,2025-04-11 10:32:00,1229.88,TP,18.18
2025-04-11 10:32:42,SELL,1211.91,2025-04-11 10:32:42,1193.74,TP,18.17
2025-04-11 10:43:10,BUY,1210.08,2025-04-11 10:43:10,1197.37,SL,-12.71
2025-04-11 10:45:10,BUY,1210.98,2025-04-11 11:05:10,1229.15,TP,18.17
2025-04-11 10:51:33,BUY,1211.07,2025-04-11 11:16:33,1198.35,SL,-12.72
2025-04-11 10:53:34,BUY,1209.75,2025-04-11 11:23:34,1227.9,TP,18.15
2025-04-11 11:33:24,BUY,1215.56,2025-04-11 11:45:24,1233.8,TP,18.24
2025-04-11 11:34:56,BUY,1215.38,2025-04-11 11:54:56,1233.62,TP,18.24
2025-04-11 11:35:29,BUY,1215.33,2025-04-11 11:59:30,1202.57,SL,-12.76
2025-04-11 11:43:59,BUY,1216.89,2025-04-11 12:00:59,1235.15,TP,18.26
2025-04-11 12:26:44,BUY,1221.01,2025-04-11 12:39:44,1239.33,TP,18.32
2025-04-11 14:19:12,BUY,1214.11,2025-04-11 14:35:12,1232.33,TP,18.22
2025-04-11 14:20:03,BUY,1214.41,2025-04-11 14:39:03,1201.66,SL,-12.75
2025-04-24 09:26:53,BUY,1292.73,2025-04-24 09:43:53,1312.12,TP,19.39
2025-04-24 09:29:10,BUY,1291.61,2025-04-24 09:50:10,1310.99,TP,19.38
2025-04-24 09:45:43,BUY,1292.49,2025-04-24 10:02:43,1311.88,TP,19.39
2025-04-24 09:51:20,BUY,1293.6,2025-04-24 10:14:20,1313.01,TP,19.41
2025-04-24 09:54:11,BUY,1293.27,2025-04-24 10:08:11,1312.68,TP,19.41
2025-04-24 10:12:00,BUY,1291.69,2025-04-24 10:27:00,1311.07,TP,19.38
2025-04-24 10:14:17,BUY,1292.15,2025-04-24 10:35:17,1311.54,TP,19.39
2025-04-24 10:16:44,BUY,1291.85,2025-04-24 10:30:44,1311.23,TP,19.38
2025-04-24 11:01:39,BUY,1294.78,2025-04-24 11:15:39,1314.2,TP,19.42
2025-04-24 13:47:49,BUY,1298.95,2025-04-24 14:00:49,1285.31,SL,-13.64
2025-06-09 15:53:13,BUY,1448.67,2025-06-09 16:15:13,1433.46,SL,-15.21
